Year,Commodore 64,Apple II,Macintosh,Atari 400/800,TRS-80,IBM PC + clones,,Amiga,Atari ST,NeXT,PET,Other,Altair,TOTAL
1975,0,0,0,0,0,0,,0,0,0,0,0,5,5
1976,0,0,0,0,0,0,,0,0,0,0,40,6,46
1977,0,0.6,0,0,100,0,,0,0,0,4,50,10,150
1978,0,7.6,0,0,100,0,,0,0,0,30,100,4,258
1979,0,35,0,100,200,0,,0,0,0,45,200,0,580
1980,0,78,0,200,290,0,,0,0,0,90,424,,724
1981,0,210,0,300,250,35,,0,0,0,40,605,,1400
1982,200,279,0,600,300,240,,0,0,0,10,1181,,2800
1983,2000,420,0,500,200,1300,,0,0,0,0,500,,2920
1984,2500,1000,372,200,50,2000,,0,0,0,0,200,,3822
1985,2500,900,200,100,10,3700,,100,100,0,0,0,,5110
1986,2500,700,380,0,0,5020,,200,200,0,0,0,,9000
1987,1500,500,550,0,0,5950,,300,400,0,0,0,,9200
1988,1250,200,900,0,0,11900,,400,350,12,0,0,,15000
1989,1250,200,1100,0,0,17550,,600,300,12,0,0,,21000
